video_id,prompt,video_path,audio_path,first_frame_path
F2xCLOz6qDs_45,"a scene with two animated characters, one with long blonde hair and the other with long brown hair, both dressed in blue and white costumes with snowflake patterns. The setting is a room with a white piano and a large window with a snowy landscape visible through it. The characters interact with each other, standing and moving around the room, with the blonde-haired character often looking at the camera and the brown-haired character moving closer to the piano. The background consists of a room with a white piano positioned in the foreground and a large window with a snowy landscape visible through it. The window has a decorative snowy pattern, and the room has a light blue color scheme with a snowy theme. The characters are the main subjects, with the blonde-haired character standing in the foreground and the brown-haired character moving around the room. The blonde-haired character often looks at the camera, while the brown-haired character moves closer to the piano. Their movements are smooth and deliberate, with the brown-haired character occasionally looking at the camera and the blonde-haired character standing still or moving slightly. The camera remains stationary, capturing the scene from a fixed viewpoint, focusing on the characters and their interactions within the room.",/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/F2xCLOz6qDs_45/video.mp4,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/F2xCLOz6qDs_45/audio.wav,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/F2xCLOz6qDs_45/first_frame.png
dKqrTJ7M5-8_93,"a colorful animated vehicle, specifically a yellow toy truck with a green dump truck attached to its back, driving across a flat, sandy terrain. The truck has large, expressive eyes and a cheerful smile, giving it a friendly and engaging appearance. The background consists of a simple, cartoonish landscape with a few green trees and a distant mountain range, creating a playful and whimsical setting. The main subject is a yellow toy truck with a green dump truck attached to its back. The truck has large, round eyes with black pupils and a cheerful smile, giving it a friendly and animated appearance. The truck is positioned centrally in the frame and moves forward, with the dump truck following closely behind. The truck's wheels are large and detailed, and it has a simple, clean design. The truck moves steadily forward across the sandy terrain. The movement is smooth and consistent, with the truck maintaining a straight path. The background remains static, emphasizing the truck's motion. The speed of the truck is moderate, suggesting a calm and leisurely pace. The camera is stationary, providing a fixed view of the truck as it moves across the frame. The camera angle is slightly low, looking up at the truck, which enhances the sense of scale and adds to the playful, animated feel of the video.",/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_2_sv/dKqrTJ7M5-8_93/video.mp4,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_2_sv/dKqrTJ7M5-8_93/audio.wav,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_2_sv/dKqrTJ7M5-8_93/first_frame.png
MsonnqzY26w_70,"a colorful, animated character with a purple hat and a pink beanie, surrounded by various food items and containers. The character appears to be in a state of distress or discomfort, with wide eyes and a contorted facial expression. The scene is set against a plain blue background, emphasizing the character and the scattered food items. The character's movements are limited to slight shifts in posture and facial expressions, indicating discomfort or distress. The background remains static throughout the video, with no changes or movements. The main subject is an animated character with a purple hat and a pink beanie, wearing a green outfit. The character has large, expressive eyes and a contorted face, suggesting distress or discomfort. The character is surrounded by various food items, including jars, boxes, and other containers, which are scattered around it. The character's position remains relatively central in the frame, with slight movements indicating discomfort. The camera is static, providing a consistent view of the character and the surrounding food items from a slightly elevated angle.",/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_3_sv/MsonnqzY26w_70/video.mp4,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_3_sv/MsonnqzY26w_70/audio.wav,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_3_sv/MsonnqzY26w_70/first_frame.png
XTgQkI9bB3M_20,"a collection of small, colorful toy figures arranged on a white surface. The toys include various characters from different animated series, such as Disney princesses and other popular characters. a hand interacting with the toys, specifically placing a yellow toy into a small, blue container. The background features a vibrant, striped pattern with alternating colors of pink, yellow, and green. The main objects are small toy figures, including Disney princesses and other characters. The toys are arranged on a white surface, with some lying flat and others positioned upright. The yellow toy is the focal point, being placed into a small, blue container by a hand. The hand is positioned centrally in the frame, interacting with the toys. The background consists of a white surface with a striped pattern featuring alternating colors of pink, yellow, and green. The toys are arranged in a casual, scattered manner, with some lying flat and others positioned upright. The scene is brightly lit, emphasizing the vivid colors of the toys and the background. The camera is stationary, providing a top-down view of the toys and the hand interacting with them. The focus remains steady on the toys and the hand, capturing the detailed movements and interactions.",/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_2_sv/XTgQkI9bB3M_20/video.mp4,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_2_sv/XTgQkI9bB3M_20/audio.wav,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_2_sv/XTgQkI9bB3M_20/first_frame.png
UXzhBww6GB8_36,"a close-up view of a toy scene featuring two animated characters, a witch and a fairy, interacting with each other. The witch, dressed in a black robe with a pointed hat and holding a staff, is positioned on the right side of the frame. The fairy, wearing a red dress and holding a wand, is on the left side. The scene takes place in a colorful, animated setting that resembles a fairy tale or fantasy world. The background includes a large, ornate door with a sign that reads ""GOTHAM CITY,"" and various animated characters and objects are visible, adding to the whimsical atmosphere. The main subjects are the witch and the fairy. The witch has a pointed hat, a black robe, and a staff, and she is positioned on the right side of the frame. The fairy has a red dress, a wand, and is positioned on the left side of the frame. The witch and fairy are facing each other, with the witch holding her staff up and the fairy holding her wand. The witch and fairy are stationary, with the witch's staff and the fairy's wand being the only moving parts. The background consists of a colorful, animated setting that resembles a fairy tale or fantasy world. There is a large, ornate door with a sign that reads ""GOTHAM CITY,"" and various animated characters and objects are visible, such as a blue door, a green fence, and animated characters in the background. The scene is vibrant and playful, with a mix of bright colors and detailed animation. The camera is stationary, providing a close-up view of the witch and fairy. The focus is sharp, capturing the intricate details of the toy characters and the animated background.",/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_2_sv/UXzhBww6GB8_36/video.mp4,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_2_sv/UXzhBww6GB8_36/audio.wav,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_2_sv/UXzhBww6GB8_36/first_frame.png
senRwr62HAU_94,"a stylized animated character, a badger, dressed in a human-like suit and hat, engaging in a series of animated actions. The badger appears to be in a room with a rustic, cozy atmosphere, possibly a kitchen or a study. The character is seen smiling, talking, and gesturing with its hands, creating a lively and engaging scene. The background is a rustic room with a warm, cozy atmosphere. There are various objects such as a table, a chair, a bookshelf, and a fireplace, suggesting a kitchen or a study. The lighting is warm, with a soft glow that enhances the cozy ambiance. The background elements are slightly blurred, keeping the focus on the badger. The main subject is a badger character, characterized by its white and black fur, large ears, and expressive eyes. The badger is wearing a human-like suit with a green vest, a striped shirt, and a brown hat. It is holding a pipe in its mouth and is seen smiling, talking, and gesturing with its hands. The badger is positioned centrally in the frame, and its movements are animated and expressive. The camera is stationary, focusing on a medium close-up view of the badger, capturing its upper body and facial expressions in detail.",/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/senRwr62HAU_94/video.mp4,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/senRwr62HAU_94/audio.wav,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/senRwr62HAU_94/first_frame.png
EcFRnqI-pRk_249,"a colorful and whimsical animated train journeying through a lush, green landscape filled with various characters and animals. The train, painted in bright yellow and orange with a cheerful face, pulls a long line of cute, animated passengers and animals. The train moves steadily along a track flanked by trees, bushes, and a variety of playful characters, including a cow, a pig, a zebra, and a unicorn, among others. The scene is vibrant and filled with joyful energy, capturing the essence of a fun and imaginative adventure. The train moves steadily forward along the track, maintaining a consistent speed. The passengers and animals on the train exhibit slight movements, such as waving and looking around, adding to the dynamic feel of the scene. The background remains static, with the trees and bushes swaying slightly, indicating a gentle breeze. The overall movement is smooth and rhythmic, contributing to the sense of a continuous journey. The main object is a large, animated train with a cheerful face, painted in bright yellow and orange. The train is pulling a long line of animated passengers and animals, including a cow, a pig, a zebra, a unicorn, and a dog, among others. The train is positioned centrally in the frame, moving forward along the track. The passengers and animals on the train are animated and expressive, adding to the lively atmosphere. The camera follows the train from a slightly elevated, side-view perspective, maintaining a steady and smooth tracking shot that keeps the train and its passengers in the center of the frame.",/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/EcFRnqI-pRk_249/video.mp4,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/EcFRnqI-pRk_249/audio.wav,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/EcFRnqI-pRk_249/first_frame.png
OAI4wBtqe1k_13,"a dynamic and visually striking animation sequence where a large, bold, and metallic letter ""T"" gradually emerges from a chaotic, fragmented background. The background is a red canvas with a rough, textured appearance, resembling a cracked or damaged surface. As the ""T"" takes shape, it becomes more defined and prominent, eventually forming the word ""SPORT"". The animation is characterized by a strong contrast between the metallic, solid lettering and the rough, fragmented background, creating a visually striking and engaging effect. The main object is a large, metallic letter ""T"" that gradually forms the word ""SPORT"". The ""T"" is initially fragmented and scattered across the frame, but it gradually comes together to form a cohesive, solid letter. The letter is centrally positioned and dominates the frame as it takes shape. The texture is uneven and irregular, with various cracks and fissures spread across the frame. The background remains static throughout the video, providing a stark contrast to the dynamic movement of the letter ""T"". The camera remains static with a fixed view, focusing on the central area where the letter ""T"" forms. There is no camera movement, and the view is centered on the evolving letter.",/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/OAI4wBtqe1k_13/video.mp4,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/OAI4wBtqe1k_13/audio.wav,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/OAI4wBtqe1k_13/first_frame.png
RdmsiOTjj9E_193,"a cartoon character, a young girl with black hair and large expressive eyes, sitting in front of a laptop. She is wearing a yellow shirt and is seen smiling, laughing, and making various facial expressions. The background is a simple, light-colored grid pattern, giving a clean and minimalist look. The character's expressions change dynamically, showing a range of emotions from joy to surprise. The main subject is a young girl with black hair, large expressive eyes, and a cheerful demeanor. She is wearing a yellow shirt and is positioned in front of a laptop. Her facial expressions change throughout the video, showing her smiling, laughing, and making various other expressions. She is centrally positioned in the frame, and her movements are primarily facial and slight head tilts. The background is a simple, light-colored grid pattern, which is consistent throughout the video. There are no additional objects or elements in the background, keeping the focus on the character. The setting appears to be indoors, likely in a room with a laptop. The camera is stationary, focusing on a medium close-up view of the character. There is no camera movement, and the view remains consistent throughout the video.",/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/RdmsiOTjj9E_193/video.mp4,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/RdmsiOTjj9E_193/audio.wav,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/RdmsiOTjj9E_193/first_frame.png
pxIPJ2VEXXU_10,"a person interacting with a small, colorful toy set, specifically focusing on a toy passport and a toy character. The person opens the toy passport, revealing a toy character inside, and then closes it again. The scene is set on a plain white surface, emphasizing the toy set and the actions performed with it. The main objects are a toy passport and a toy character. The toy passport is blue with a green cover and has a picture of a beach scene on the front. The toy character is a small, brown, cartoon-like figure with a pink bow in its hair. The person's hands manipulate the toy passport, opening it to reveal the toy character inside and then closing it again. The toy character is positioned inside the passport, and the hands interact with it by opening and closing the passport. The background is a plain white surface, providing a clean and uncluttered backdrop that keeps the focus on the toy set. There are no additional objects or elements in the background, ensuring that the viewer's attention remains on the toy passport and the toy character. The camera is stationary, providing a close-up view of the toy set and the hands interacting with it. The camera angle is slightly elevated, capturing the entire action clearly and in detail.",/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/pxIPJ2VEXXU_10/video.mp4,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/pxIPJ2VEXXU_10/audio.wav,/mnt/hdd2/huanglingyu/vgg/datasets/Koala-36M-v1/videos/Koala_36M_1_sv/pxIPJ2VEXXU_10/first_frame.png
